EmployeeCode;EmployeeNumber;Initials;NickName;FirstName;NamePrefix;LastName;DateOfBirth;BirthLocality;Gender;PartnerNamePrefix;PartnerName;PreferredNaming;Street;Housenumber;HousenumberAddition;Postalcode;City;MobilePrivate;MobileBusiness;EmailPrivate;EmailBusiness;Blocked
AmirA;7208495;A.;Amir;Amir;;Atkinson;6-8-1968;Kenosha;M;;;0;P.O. Box 913, 7519 Nisl Avenue;21;;9708EI;Kenosha;;;;Amir.Atkinson@domain.local;FALSE
BethanyC;8061306;B.;Bethany;Bethany;;Chen;3-8-1990;Lexington;V;;;0;Ap #488-9815 Elit, St.;43;B;5803MD;Lexington;;;;Bethany.Chen@domain.local;FALSE
BiancaM;1800393;B.;Bianca;Bianca;;Munoz;24-3-1982;Covington;V;;Hartman;1;6227 In Street;19;;9338YX;Covington;;;;Bianca.Munoz@domain.local;FALSE
BrianS;7928046;B.;Brian;Brian;;Schwartz;;Honolulu;M;;;0;377-9037 Sociis Avenue;25;;4350RP;Honolulu;;;;Brian.Schwartz@domain.local;FALSE
BurtonL;7329106;B.;Burton;Burton;;Lucas;17-12-1978;Savannah;M;;;0;P.O. Box 805, 3567 Mauris Av.;27;;4849BW;Savannah;;;;Burton.Lucas@domain.local;FALSE
ClaireS;7993791;C.;Claire;Claire;;Sweeney;1-10-1965;Rockville;V;;;0;4033 Mauris St.;86;;1101FC;Rockville;;;;Claire.Sweeney@domain.local;FALSE
GabrielL;1764944;G.;Gabriel;Gabriel;;Landry;23-12-1984;Atlanta;M;;;0;253-2645 Ante Ave;49;;3221OB;Atlanta;;;;Gabriel.Landry@domain.local;FALSE
HollyM;9650570;H.;Holly;Holly;van;Medina;19-12-1972;Tuscaloosa;V;de;Foster;0;5026 Quam St.;50;;3757VK;Tuscaloosa;;;;Holly.Medina@domain.local;FALSE
JessicaS;5321391;J.;Jessica;Jessica;;Skinner;11-5-1966;Chesapeake;V;;;0;Ap #114-3022 Dolor Ave;77;;5735ZT;Chesapeake;;;;Jessica.Skinner@domain.local;FALSE
KaitlinH;4472793;K.;Kaitlin;Kaitlin;;Hicks;14-8-1981;Biloxi;V;;;0;Ap #142-1247 Non Road;29;;4704EF;Biloxi;;;;Kaitlin.Hicks@domain.local;FALSE
KatoB;7117340;K.;Kato;Kato;;Barnett;3-9-1990;Philadelphia;M;;;0;780-6955 Semper Av.;26;;5550XO;Philadelphia;;;;Kato.Barnett@domain.local;FALSE
KennanR;7081891;K.;Kennan;Kennan;;Randolph;4-6-1993;Spokane;M;;;0;4783 Placerat. Ave;56;;8433NS;Spokane;;;;Kennan.Randolph@domain.local;FALSE
LacotaB;3525443;L.;Lacota;Lacota;;Brooks;16-1-1977;Cambridge;V;;Wehl;1;696-2017 At, Av.;28;;5919DZ;Cambridge;;;;Lacota.Brooks@domain.local;FALSE
LeonardP;6233292;L.;Leonard;Leonard;;Petty;7-9-1973;Hattiesburg;M;;;0;Ap #101-7933 Sodales. Rd.;8;;7403RE;Hattiesburg;;;;Leonard.Petty@domain.local;FALSE
LoisC;6296594;L.;Lois;Lois;;Chase;9-4-1961;San Jose;V;;;0;2830 Amet Rd.;89;;8040MY;San Jose;;;;Lois.Chase@domain.local;FALSE
NathanY;3560892;N.;Nathan;Nathan;;Young;17-4-1974;Lakewood;M;;;0;6106 Neque. Avenue;97;;3036MV;Lakewood;;;;Nathan.Young@domain.local;FALSE
OlegF;6268741;O.;Oleg;Oleg;de;Foster;7-12-1970;Sterling Heights;M;;;0;4213 Phasellus St.;77;;4519BZ;Sterling Heights;;;;Oleg.Foster@domain.local;TRUE
OrsonR;8092543;O.;Orson;Orson;;Rodgers;2-8-1985;Chicago;M;;;0;489-1471 Arcu St.;39;;7855KT;Chicago;;;;Orson.Rodgers@domain.local;FALSE
RamaM;7145193;R.;Rama;Rama;;Mclaughlin;4-1-1981;Wyoming;V;ten;Kate;2;3624 Magna. St.;38;;9070IN;Wyoming;;;;Rama.Mclaughlin@domain.local;FALSE
RashadW;6582099;R.;Rashad;Rashad;;Wong;11-12-1988;Gaithersburg;M;;;0;P.O. Box 426, 7202 Vitae, St.;34;;8151PP;Gaithersburg;;;;Rashad.Wong@domain.local;FALSE
RonanP;5571470;R.;Ronan;Ronan;;Potter;3-12-1962;Birmingham;M;;;0;P.O. Box 234, 4123 Curabitur St.;65;;1635ND;Birmingham;;;;Ronan.Potter@domain.local;FALSE
SophiaR;6513108;S.;Sophia;Sophia;;Reyes;5-4-1978;Kansas City;V;van der;Horen;3;326-9903 Risus St.;34;;7251JD;Kansas City;;;;Sophia.Reyes@domain.local;FALSE
SummerH;1701641;S.;Summer;Summer;;Heath;23-5-1962;Miami;V;;;0;5027 Lacinia Av.;66;;2584TG;Miami;;;;Summer.Heath@domain.local;FALSE
VladimirA;2648991;V.;Vladimir;Vladimir;;Alvarez;19-12-1966;Bangor;M;;;0;Ap #297-6394 Pulvinar Street;67;;1369UM;Bangor;;;;Vladimir.Alvarez@domain.local;TRUE
WalkerC;3497590;W.;Walker;Walker;;Clark;15-9-1986;Cheyenne;M;;;0;P.O. Box 907, 7086 Metus. Rd.;16;;2399RB;Cheyenne;;;;Walker.Clark@domain.local;FALSE
MikeO;3498565;M.;Mike;Mike;;O'Leary;15-9-1986;New York;M;;;0;P.O. Box 907, 7086 Placerat. St.;23;;7892RB;New York;;;;Mike.OLeary@domain.local;FALSE
XavieraF;1857464;X.;Xaviera;Xaviera;;Foley;7-5-1983;Fort Worth;V;;McCain;2;P.O. Box 412, 9179 Proin Av.;51;;2923FY;Fort Worth;;;;Xaviera.Foley@domain.local;FALSE
FrancoisJ;3528888;F.;François;François;;Jönsson;22-2-1958;Cambridge;M;;;0;696-2017 At, Av.;28;;5919DZ;Cambridge;;;;Francois.Jonsson@domain.local;FALSE
ElifO;3528883;E.;Elif;Elif;;Sørina;27-6-1992;Cambridge;V;;;0;696-2017 At, Av.;28;;5919DZ;Cambridge;;;;Elif.Sorina@domain.local;FALSE
OyvindB;3528824;Ø.;Øyvind;Øyvind;;Björk;22-3-1987;Cambridge;V;;;0;696-2017 At, Av.;28;;5919DZ;Cambridge;;;;Oyvind.Bjork@domain.local;FALSE
EmreC;3528748;E.;Emre;Emre;;Çetin;7-1-1998;Cambridge;M;;;0;696-2017 At, Av.;28;;5919DZ;Cambridge;;;;Emre.Cetin@domain.local;FALSE
YusufK;3529248;Y.;Yusuf;Yusuf;;Kılıç;7-1-1998;Cambridge;M;;;0;696-2017 At, Av.;28;;5919DZ;Cambridge;;;;Yusuf.Kılıc@domain.local;FALSE
HasimE;3564398;H.;Haşim;Haşim;;Erdoğan;7-8-1999;Cambridge;M;;;0;696-2017 At, Av.;28;;5919DZ;Cambridge;;;;Hasim.Erdogan@domain.local;FALSE
MaryjoM;3274365;M.;Mary-Jo;Mary-Jo;;Mårtensson;3-6-2003;Cambridge;V;;;0;696-2017 At, Av.;28;;5919DZ;Cambridge;;;;MaryJo.Martensson@domain.local;FALSE
